,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,,Def Interceptions,,,,,Fumbles,,,,,Unnamed: 17_level_0,Tackles,,,,,Unnamed: 23_level_0,Year
,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,
119,120,Gregory Rousseau,BUF,24,DE,16,16,0,0,0,0,3,3,0,1,0,0,8.0,53,36,17,16,24,0,2024
120,121,Coleman Shelton,CHI,29,OL,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2024
121,122,John Simpson,NYJ,27,OL,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
122,123,Tedarrell Slaton,GNB,27,DL,16,16,0,0,0,0,0,0,0,0,0,0,1.0,27,13,14,1,3,0,2024
123,124,Geno Smith,SEA,34,QB,16,16,0,0,0,0,0,0,9,6,-47,0,0.0,0,0,0,0,0,0,2024
124,125,Mazi Smith,DAL,23,DT,16,16,0,0,0,0,0,0,0,0,0,0,0.5,39,21,18,4,2,0,2024
125,126,Robert Spillane,LVR,29,LB,16,16,2,0,0,0,7,0,0,0,0,0,2.0,142,85,57,10,3,0,2024
126,127,Amon-Ra St. Brown,DET,25,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2024
127,128,Matthew Stafford,LAR,36,QB,16,16,0,0,0,0,0,0,6,3,-15,0,0.0,0,0,0,0,0,0,2024
128,129,Ronnie Stanley,BAL,30,T,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,2024
129,130,Brandon Stephens,BAL,27,DB,16,16,0,0,0,0,9,0,0,0,0,0,1.5,67,56,11,3,2,0,2024
130,131,Grover Stewart,IND,31,DT,16,16,0,0,0,0,3,1,0,1,0,0,3.5,67,28,39,9,6,0,2024
131,132,Derek Stingley Jr.,HOU,23,CB,16,16,5,48,0,31,18,0,0,0,0,0,0.0,54,37,17,4,0,0,2024
132,133,Geno Stone,CIN,25,S,16,16,4,88,1,49,6,0,0,1,6,0,0.0,80,46,34,0,4,0,2024
133,134,C.J. Stroud,HOU,23,QB,16,16,0,0,0,0,0,0,6,1,-4,0,0.0,0,0,0,0,0,0,2024
134,135,D'Andre Swift,CHI,25,RB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,2024
135,136,Jahlani Tavai,NWE,28,LB,16,16,1,0,0,0,5,0,0,0,0,0,1.0,111,58,53,7,1,0,2024
136,137,Cam Taylor-Britt,CIN,25,CB,16,16,3,79,1,51,15,0,0,0,0,0,0.5,75,57,18,1,1,0,2024
137,138,AJ Terrell,ATL,26,CB,16,16,2,1,0,1,6,0,0,0,0,0,0.0,62,47,15,2,0,0,2024
138,139,Joe Tippmann,NYJ,23,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2024
139,140,Dalvin Tomlinson,CLE,30,DT,16,16,0,0,0,0,0,0,0,0,0,0,3.0,26,13,13,6,18,0,2024
140,141,Laken Tomlinson,SEA,32,G,16,16,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,2024
141,142,O'Cyrus Torrence,BUF,24,G,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,2024
142,143,Drue Tranquill,KAN,29,LB,16,16,0,0,0,0,2,0,0,2,3,0,2.0,94,54,40,4,9,0,2024
143,144,Kobie Turner,LAR,25,DE,16,16,0,0,0,0,4,1,0,1,0,0,8.0,62,35,27,10,13,0,2024
144,145,Andrew Van Ginkel,MIN,29,OLB,16,16,2,73,2,63,5,1,0,0,0,0,11.5,72,46,26,17,19,0,2024
145,146,Greg Van Roten,NYG,34,OG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
146,147,Jared Verse,LAR,24,OLB,16,16,0,0,0,0,2,2,0,2,0,0,4.5,65,35,30,11,18,0,2024
147,148,Bobby Wagner,WAS,34,MLB,16,16,0,0,0,0,3,1,0,2,0,0,2.0,124,71,53,8,8,0,2024
148,149,DeMarcus Walker,CHI,30,DL,16,16,0,0,0,0,0,0,0,0,0,0,3.5,45,24,21,6,15,0,2024
149,150,Travon Walker,JAX,24,DE,16,16,0,0,0,0,1,2,0,1,35,1,9.5,56,29,27,12,14,0,2024
150,151,Denzel Ward,CLE,27,CB,16,16,2,0,0,0,19,1,0,1,0,0,0.0,48,41,7,1,1,0,2024
151,152,Fred Warner,SFO,28,LB,16,16,2,70,1,45,7,4,0,0,0,0,1.0,123,71,52,4,2,0,2024
152,153,T.J. Watt,PIT,30,LB,16,16,0,0,0,0,4,6,0,2,0,0,11.5,61,40,21,19,27,0,2024
153,154,Kyzir White,ARI,28,LB,16,16,1,0,0,0,2,0,0,1,0,0,2.5,127,55,72,8,7,0,2024
154,155,Caleb Williams,CHI,23,QB,16,16,0,0,0,0,0,0,9,3,-7,0,0.0,0,0,0,0,0,0,2024
155,156,Kyren Williams,LAR,24,RB,16,16,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,0,0,2024
156,157,Quincy Williams,NYJ,28,LB,16,16,0,0,0,0,3,3,0,2,15,0,2.0,107,67,40,9,2,0,2024
157,158,Donovan Wilson,DAL,29,S,16,16,1,0,0,0,5,2,0,1,0,0,3.5,80,42,38,5,4,0,2024
158,159,Garrett Wilson,NYJ,24,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,2024
159,160,Devon Witherspoon,SEA,24,CB,16,16,0,0,0,0,7,1,0,0,0,0,1.0,90,62,28,6,1,0,2024
160,161,Xavier Woods,CAR,29,S,16,16,3,70,0,33,5,0,0,0,0,0,0.0,114,70,44,2,0,0,2024
161,162,Byron Young,LAR,26,OLB,16,16,0,0,0,0,1,1,0,0,0,0,7.0,60,33,27,12,12,1,2024
162,163,De'Von Achane,MIA,23,RB,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2024
163,164,Bobby Brown,LAR,24,NT,16,15,0,0,0,0,1,0,0,0,0,0,0.0,41,14,27,3,1,0,2024
164,165,Adam Butler,LVR,30,DT,16,15,0,0,0,0,2,1,0,0,0,0,4.0,61,33,28,7,9,0,2024
165,166,Jalen Carter,PHI,23,DT,16,15,0,0,0,0,6,2,0,0,0,0,4.5,42,25,17,12,16,0,2024
166,167,John Franklin-Myers,DEN,28,DL,16,15,0,0,0,0,0,0,0,0,0,0,6.0,39,17,22,7,16,0,2024
167,168,Marvin Harrison Jr.,ARI,22,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2024
168,169,Jack Jones,LVR,27,CB,16,15,3,53,1,29,15,0,0,0,0,0,0.0,64,49,15,3,0,0,2024
169,170,Arden Key,TEN,28,OLB,16,15,0,0,0,0,1,2,0,1,0,0,6.5,42,24,18,11,15,0,2024
170,171,David Onyemata,ATL,32,DL,16,15,0,0,0,0,1,0,0,0,0,0,3.0,43,22,21,8,5,0,2024
171,172,Mike Sainristil,WAS,24,CB,16,15,2,38,0,38,11,1,0,1,0,0,0.0,83,55,28,1,0,0,2024
172,173,Jamien Sherwood,NYJ,24,LB,16,15,0,0,0,0,3,0,0,0,0,0,2.0,152,95,57,10,2,0,2024
173,174,Jaxon Smith-Njigba,SEA,22,WR,16,15,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,2024
174,175,Josh Sweat,PHI,27,OLB,16,15,0,0,0,0,2,0,0,0,0,0,8.0,41,27,14,9,15,0,2024
175,176,T'Vondre Sweat,TEN,23,NT,16,15,0,0,0,0,1,1,0,1,30,0,1.0,46,20,26,4,3,0,2024
176,177,Starling Thomas,ARI,24,CB,16,15,0,0,0,0,6,1,0,0,0,0,0.0,43,30,13,1,0,0,2024
177,178,Nik Bonitto,DEN,25,OLB,16,14,1,71,1,71,4,2,0,1,50,1,11.5,45,30,15,14,22,0,2024
178,179,Andre Cisco,JAX,24,S,16,14,1,22,0,22,7,0,0,0,0,0,0.0,68,44,24,1,0,0,2024
179,180,L.J. Collier,ARI,29,DL,16,14,0,0,0,0,2,0,0,1,0,0,3.5,28,12,16,4,6,0,2024
180,181,Martin Emerson,CLE,24,CB,16,14,0,0,0,0,5,1,0,1,2,0,0.0,76,59,17,3,0,0,2024
181,182,Benito Jones,MIA,27,DT,16,14,0,0,0,0,0,0,0,0,0,0,0.0,22,9,13,4,3,0,2024
182,183,Travis Jones,BAL,25,DT,16,14,0,0,0,0,0,0,0,0,0,0,1.0,38,21,17,4,4,0,2024
183,184,Matt Judon,ATL,32,OLB,16,14,1,27,1,27,5,0,0,0,0,0,5.5,39,24,15,7,9,0,2024
184,185,Kyle Juszczyk,SFO,33,FB,16,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2024
185,186,Beaux Limmer,LAR,23,OL,16,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
186,187,Will McDonald,NYJ,25,DE,16,14,0,0,0,0,2,2,0,1,0,0,10.0,26,17,9,10,21,0,2024
187,188,Keisean Nixon,GNB,27,CB,16,14,1,16,0,16,7,3,0,0,0,0,3.0,82,56,26,6,6,0,2024
188,189,Matt Pryor,CHI,30,OL,16,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2024
189,190,Drew Sample,CIN,28,TE,16,14,0,0,0,0,0,1,1,0,0,0,0.0,1,0,1,0,0,0,2024
190,191,Alontae Taylor,NOR,26,CB,16,14,0,0,0,0,16,2,0,0,0,0,4.0,87,59,28,7,6,0,2024
191,192,Jalen Tolbert,DAL,25,WR,16,14,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,2024
192,193,Cody Barton,DEN,28,LB,16,13,2,71,0,56,5,1,0,1,52,1,1.5,103,52,51,2,2,0,2024
193,194,Keeanu Benton,PIT,23,DL,16,13,1,11,0,11,6,0,0,1,0,0,0.0,31,13,18,1,7,0,2024
194,195,Ji'Ayir Brown,SFO,24,S,16,13,1,0,0,0,5,0,0,0,0,0,0.0,72,46,26,3,0,0,2024
195,196,Jarvis Brownlee,TEN,23,CB,16,13,1,2,0,2,8,0,0,0,0,0,0.0,71,45,26,7,0,0,2024
196,197,Leo Chenal,KAN,24,LB,16,13,0,0,0,0,3,3,0,0,0,0,1.0,55,38,17,4,1,0,2024
197,198,Derick Hall,SEA,23,OLB,16,13,0,0,0,0,0,2,0,1,36,1,8.0,35,20,15,6,19,0,2024
198,199,DaVon Hamilton,JAX,27,DT,16,13,0,0,0,0,0,0,0,0,0,0,0.0,54,29,25,5,2,0,2024
199,200,Jonathan Jones,NWE,31,CB,16,13,0,0,0,0,6,2,0,0,0,0,0.0,58,41,17,0,0,0,2024
200,201,Eric Murray,HOU,30,S,16,13,1,0,0,0,10,0,0,0,0,0,1.0,71,46,25,1,2,0,2024
201,202,Dayo Odeyingbo,IND,25,DE,16,13,0,0,0,0,0,2,0,1,0,0,3.0,29,13,16,7,15,0,2024
